"Prev.Length","Match.Score","Tile.Size","Prev.Type","Browse.Time"
75,50,0.5,"TT",16.7197339706843
40,50,0.5,"TT",18.8853826575439
40,95,0.5,"TT",13.3694377239401
40,50,0.2,"TT",17.4260691917116
40,50,0.2,"AC",23.28400092525
75,50,0.2,"AC",20.0797838744225
40,95,0.2,"AC",19.2647974650776
75,95,0.5,"AC",20.1454471421505
40,95,0.5,"AC",19.3464708858212
75,50,0.5,"AC",21.3418813606021
40,50,0.5,"AC",21.5876500601127
75,50,0.5,"TT",16.5974147958573
40,50,0.5,"TT",17.971820668055
40,95,0.5,"TT",15.3984929605281
40,50,0.2,"TT",16.387675110192
40,50,0.2,"AC",22.3283562315828
75,50,0.2,"AC",19.8464665734508
40,95,0.2,"AC",20.55965546024
75,95,0.5,"AC",19.5634940030422
40,95,0.5,"AC",18.1726639012068
75,50,0.5,"AC",19.2626385717814
40,50,0.5,"AC",21.5861026708396
75,50,0.5,"TT",16.0747991798314
40,50,0.5,"TT",18.3379330192328
40,95,0.5,"TT",13.859192455515
40,50,0.2,"TT",17.530464958453
40,50,0.2,"AC",21.5199979102561
75,50,0.2,"AC",19.7665927516557
40,95,0.2,"AC",19.0656343130302
75,95,0.5,"AC",17.815727528793
40,95,0.5,"AC",17.0484563001494
75,50,0.5,"AC",22.6564551637702
40,50,0.5,"AC",20.7985887986703
75,50,0.5,"TT",15.9272573816482
40,50,0.5,"TT",16.2876336008862
40,95,0.5,"TT",15.1064900553048
40,50,0.2,"TT",15.9451379952253
40,50,0.2,"AC",24.117680262821
75,50,0.2,"AC",21.1685108342302
40,95,0.2,"AC",19.0676646076593
75,95,0.5,"AC",19.6224892266059
40,95,0.5,"AC",18.6732954337233
75,50,0.5,"AC",20.8033115690657
40,50,0.5,"AC",21.8990493480555
75,50,0.5,"TT",16.6560834558786
40,50,0.5,"TT",15.5442427542567
40,95,0.5,"TT",14.040370389693
40,50,0.2,"TT",16.9666058811079
40,50,0.2,"AC",22.0864126486088
75,50,0.2,"AC",21.1882184143681
40,95,0.2,"AC",17.7056300224597
75,95,0.5,"AC",19.5424311644374
40,95,0.5,"AC",19.0232236114648
75,50,0.5,"AC",21.1373374610267
40,50,0.5,"AC",21.5781997218721
75,50,0.5,"TT",14.3342850247963
40,50,0.5,"TT",17.0100879081046
40,95,0.5,"TT",14.7276864401114
40,50,0.2,"TT",18.0521191584084
40,50,0.2,"AC",21.0070784767034
75,50,0.2,"AC",19.4400453678451
40,95,0.2,"AC",20.3968876449895
75,95,0.5,"AC",18.6346737305739
40,95,0.5,"AC",19.1070511964015
75,50,0.5,"AC",23.1507190591733
40,50,0.5,"AC",21.7228904498645
75,50,0.5,"TT",17.0012585032649
40,50,0.5,"TT",16.3613576275245
40,95,0.5,"TT",11.823244834354
40,50,0.2,"TT",17.5564475558727
40,50,0.2,"AC",23.1398409572653
75,50,0.2,"AC",21.5664511471968
40,95,0.2,"AC",18.6410079459891
75,95,0.5,"AC",19.8545816928151
40,95,0.5,"AC",17.5584141227669
75,50,0.5,"AC",19.5971428505523
40,50,0.5,"AC",21.5273753541673
75,50,0.5,"TT",15.5774505662324
40,50,0.5,"TT",16.0106706996096
40,95,0.5,"TT",13.3369098427662
40,50,0.2,"TT",16.7477166213215
40,50,0.2,"AC",23.1551059783407
75,50,0.2,"AC",21.6607945877537
40,95,0.2,"AC",19.9498529332787
75,95,0.5,"AC",19.989005997469
40,95,0.5,"AC",19.7431178483605
75,50,0.5,"AC",20.7079701079885
40,50,0.5,"AC",21.8226681299311
75,50,0.5,"TT",15.1715654292078
40,50,0.5,"TT",16.1060959882198
40,95,0.5,"TT",14.2458255962551
40,50,0.2,"TT",16.5090408726126
40,50,0.2,"AC",21.8870386092421
75,50,0.2,"AC",20.9492422324438
40,95,0.2,"AC",18.4216347537269
75,95,0.5,"AC",20.2686031144018
40,95,0.5,"AC",18.9214988443201
75,50,0.5,"AC",22.1960141530576
40,50,0.5,"AC",22.8846008522975
75,50,0.5,"TT",15.0615228742657
40,50,0.5,"TT",17.679255290353
40,95,0.5,"TT",13.238332644887
40,50,0.2,"TT",18.8487374367654
40,50,0.2,"AC",21.2644362976344
75,50,0.2,"AC",20.9262620534722
40,95,0.2,"AC",20.3466113788461
75,95,0.5,"AC",19.2826319422328
40,95,0.5,"AC",17.8678907822461
75,50,0.5,"AC",21.8710436417639
40,50,0.5,"AC",20.7843395667576
75,50,0.5,"TT",16.4096790504163
40,50,0.5,"TT",16.0364318785813
40,95,0.5,"TT",16.6943838452184
40,50,0.2,"TT",16.6447326742132
40,50,0.2,"AC",21.7482056864648
75,50,0.2,"AC",19.0646951162865
40,95,0.2,"AC",18.7954521678799
75,95,0.5,"AC",20.0900405698008
40,95,0.5,"AC",18.3027694585571
75,50,0.5,"AC",22.032755077785
40,50,0.5,"AC",20.6585309643606
75,50,0.5,"TT",18.1088828757782
40,50,0.5,"TT",17.4790353535786
40,95,0.5,"TT",13.9803661254247
40,50,0.2,"TT",16.1797347814624
40,50,0.2,"AC",22.183135358044
75,50,0.2,"AC",21.9264669929437
40,95,0.2,"AC",20.9356781887492
75,95,0.5,"AC",19.5157736390644
40,95,0.5,"AC",18.9921423521981
75,50,0.5,"AC",21.4306356158751
40,50,0.5,"AC",22.8156007173927
75,50,0.5,"TT",16.5749632260203
40,50,0.5,"TT",17.9735047567471
40,95,0.5,"TT",14.561063977227
40,50,0.2,"TT",15.912549992406
40,50,0.2,"AC",22.5793689882073
75,50,0.2,"AC",19.3133420309767
40,95,0.2,"AC",19.3738702585762
75,95,0.5,"AC",18.6548273307871
40,95,0.5,"AC",19.2752327389395
75,50,0.5,"AC",21.4733248481446
40,50,0.5,"AC",21.6007705328587
75,50,0.5,"TT",16.8889190128446
40,50,0.5,"TT",18.4204527876597
40,95,0.5,"TT",12.8735053557224
40,50,0.2,"TT",15.8070068791203
40,50,0.2,"AC",20.6774630600051
75,50,0.2,"AC",19.402642679416
40,95,0.2,"AC",18.9882678435099
75,95,0.5,"AC",20.4340938920342
40,95,0.5,"AC",18.8956393790961
75,50,0.5,"AC",22.1840366878995
40,50,0.5,"AC",20.2857189445197
75,50,0.5,"TT",14.5387925738003
40,50,0.5,"TT",17.44293167585
40,95,0.5,"TT",15.014188947678
40,50,0.2,"TT",17.8556243561821
40,50,0.2,"AC",23.0691450722719
75,50,0.2,"AC",18.5576864472129
40,95,0.2,"AC",17.2628255925923
75,95,0.5,"AC",19.80503182867
40,95,0.5,"AC",18.031477978274
75,50,0.5,"AC",21.4669414991434
40,50,0.5,"AC",21.1314909824745
75,50,0.5,"TT",14.9038259813332
40,50,0.5,"TT",18.0090169938028
40,95,0.5,"TT",15.1668646168668
40,50,0.2,"TT",15.0647039889114
40,50,0.2,"AC",21.8312881240183
75,50,0.2,"AC",20.5623639825846
40,95,0.2,"AC",20.6648041542175
75,95,0.5,"AC",18.9674590844905
40,95,0.5,"AC",19.6577645987319
75,50,0.5,"AC",20.6836647915596
40,50,0.5,"AC",23.4427315764025
75,50,0.5,"TT",15.2180823704657
40,50,0.5,"TT",18.6800311167741
40,95,0.5,"TT",13.1760556971569
40,50,0.2,"TT",16.1527242902816
40,50,0.2,"AC",22.5723430935955
75,50,0.2,"AC",18.4382731821418
40,95,0.2,"AC",20.903579147607
75,95,0.5,"AC",20.3814800515476
40,95,0.5,"AC",18.8677607956525
75,50,0.5,"AC",18.9337457468698
40,50,0.5,"AC",21.101008074263
75,50,0.5,"TT",15.6497812801997
40,50,0.5,"TT",17.201235783484
40,95,0.5,"TT",14.0493691967571
40,50,0.2,"TT",18.2302625985848
40,50,0.2,"AC",22.3223073990452
75,50,0.2,"AC",21.601391356216
40,95,0.2,"AC",20.731924377802
75,95,0.5,"AC",21.7502471931067
40,95,0.5,"AC",19.0085896945229
75,50,0.5,"AC",19.0589284250613
40,50,0.5,"AC",22.8574302910448
75,50,0.5,"TT",15.5138494179788
40,50,0.5,"TT",16.022928881549
40,95,0.5,"TT",12.8938870239627
40,50,0.2,"TT",16.5685551986664
40,50,0.2,"AC",22.3722334420045
75,50,0.2,"AC",22.7492839877453
40,95,0.2,"AC",18.1502970756435
75,95,0.5,"AC",20.7246889976677
40,95,0.5,"AC",20.2529304035939
75,50,0.5,"AC",21.9055499012923
40,50,0.5,"AC",22.2328771857467
75,50,0.5,"TT",16.7784321783736
40,50,0.5,"TT",18.8257810125014
40,95,0.5,"TT",13.6059726832806
40,50,0.2,"TT",15.7090501549013
40,50,0.2,"AC",21.35153421725
75,50,0.2,"AC",20.8325624308383
40,95,0.2,"AC",18.40106134535
75,95,0.5,"AC",18.8647200618629
40,95,0.5,"AC",19.0570045185632
